,device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
54,Movella DOT,D4:22:CD:07:A7:43,900018,0.6240458488464355,-0.007539691869169474,-0.00208411761559546,0.7813486456871033,-0.12547609210014343,-0.006848846096545458,10.199877738952637
54,Movella DOT,D4:22:CD:07:AA:FB,900018,0.2251376360654831,0.015129770152270794,0.001729858573526144,0.9742080569267273,0.177824467420578,0.13196521997451782,9.665738105773926
55,Movella DOT,D4:22:CD:07:AA:FB,916685,0.22515760362148285,0.015202350914478302,0.001653742277994752,0.9742024540901184,0.1912097930908203,0.1402527093887329,9.683257102966309
55,Movella DOT,D4:22:CD:07:A7:43,916685,0.6240271925926208,-0.007602326106280088,-0.002207457087934017,0.7813625931739807,-0.12678594887256622,-0.009030234068632126,10.182964324951172
56,Movella DOT,D4:22:CD:07:A7:43,933352,0.6240167021751404,-0.007670203223824501,-0.0023353383876383305,0.7813699841499329,-0.12327370047569275,0.017763560637831688,10.183496475219727
56,Movella DOT,D4:22:CD:07:AA:FB,933352,0.22543251514434814,0.015265722759068012,0.0015823658322915435,0.9741379022598267,0.18284635245800018,0.1440351903438568,9.687352180480957
57,Movella DOT,D4:22:CD:07:AA:FB,950019,0.225517138838768,0.015331468544900417,0.0015169729012995958,0.9741174578666687,0.19535627961158752,0.16140520572662354,9.687840461730957
57,Movella DOT,D4:22:CD:07:A7:43,950019,0.6240001320838928,-0.00773217948153615,-0.0024584655184298754,0.7813822627067566,-0.11845242232084274,0.030125869438052177,10.207612037658691
58,Movella DOT,D4:22:CD:07:A7:43,966686,0.6240146160125732,-0.0077979713678359985,-0.002578961895778775,0.7813696265220642,-0.11554843187332153,0.043062083423137665,10.203557014465332
58,Movella DOT,D4:22:CD:07:AA:FB,966686,0.2253633290529251,0.015392467379570007,0.0014550549676641822,0.974152147769928,0.19176653027534485,0.15661242604255676,9.682541847229004
59,Movella DOT,D4:22:CD:07:AA:FB,983353,0.22535967826843262,0.015457281842827797,0.0013948617270216346,0.9741520881652832,0.20399130880832672,0.1478220373392105,9.685855865478516
59,Movella DOT,D4:22:CD:07:A7:43,983353,0.623925507068634,-0.007854366675019264,-0.0027032510843127966,0.7814397811889648,-0.12207762897014618,0.031884610652923584,10.174588203430176
60,Movella DOT,D4:22:CD:07:A7:43,1000020,0.6238651871681213,-0.007921739481389523,-0.0028153317980468273,0.7814869284629822,-0.10215811431407928,0.02699660323560238,10.165040969848633
